film_id,title,release_date,vote_average,overview,popularity
1339713,Obsesión,2026-05-13,7.907,El anhelo romántico desesperado de un chico por su amor platónico de toda la vida desencadena un siniestro hechizo: Niki se vuelve irracionalmente obsesiva hasta convertirse en la sombra de Bear. Una fantasía aparentemente inofensiva que se convertirá en una perturbadora pesadilla.,592.6272
1304313,La momia de Lee Cronin,2026-04-15,8.065,"La joven hija de un periodista desaparece en el desierto sin dejar rastro—ocho años más tarde, la familia rota se conmociona cuando ella es devuelta a ellos, y lo que debiera haber sido una reunión jubilosa se convierte en una auténtica pesadilla.",493.1318
1433117,Kara,2026-04-30,5.6,"Un ladrón trata de enderezarse, pero, cuando su padre se endeuda por culpa de las condiciones abusivas de los bancos, vuelve a robar... y un policía implacable le pisa los talones.",412.1843
1380291,Jack Ryan de Tom Clancy: Guerra Encubierta,2026-05-20,7.134,"En esta nueva película, Jack Ryan se ve empujado de vuelta al espionaje cuando una misión secreta internacional destapa una conspiración mortal. Contra reloj, se une a Mike November y James Greer, sus aliados de la CIA, y a Emma Marlow, una perspicaz agente del MI6, para enfrentarse a una unidad de operaciones encubiertas en una batalla muy personal y arriesgada.",301.4835
1439930,The Punisher: One Last Kill,2026-05-12,8.375,"Mientras Frank Castle busca propósito más allá de la venganza, una fuerza inesperada lo arrastra de nuevo a la lucha.",275.098
1083381,Backrooms,2026-05-27,6.7,Una puerta extraña aparece en el sótano de una sala de exposición de muebles.,299.9356
687163,Proyecto Salvación,2026-03-15,8.649,"El profesor de ciencias Ryland Grace se despierta en una nave espacial a años luz de casa sin recordar quién es ni cómo ha llegado hasta allí. A medida que recupera la memoria, empieza a descubrir su misión: resolver el enigma de la misteriosa sustancia que provoca la extinción del sol. Deberá recurrir a sus conocimientos científicos y a sus ideas poco ortodoxas para salvar todo lo que hay en la Tierra de la extinción... pero una amistad inesperada significa que quizá no tenga que hacerlo solo.",263.7195
1226863,Super Mario Galaxy la película,2026-04-01,8.105,"Secuela de 'Super Mario Bros: La película', basada en la saga 'Mario Galaxy'. Los hermanos Mario y Luigi y la princesa Peach emprenden una aventura hasta los confines del espacio y a través de la galaxia.",245.9191
603,Matrix,1999-03-31,8.247,"Thomas Anderson lleva una doble vida: por el día es programador en una importante empresa de software, y por la noche un hacker informático llamado Neo. Su vida no volverá a ser igual cuando unos misteriosos personajes le inviten a descubrir la respuesta a la pregunta que no le deja dormir: ¿qué es Matrix?",203.5157
1582770,Patriotismo 2,2026-03-18,7.3,"Hamza Ali Mazari, cuya verdadera identidad es Jaskirat Singh Rangi, continúa su operación encubierta en el mundo criminal de Pakistán mientras rastrea a Majo.",242.624
1007757,Intercambiados,2026-05-01,8.973,"Una pequeña criatura del bosque intercambia el cuerpo con un majestuoso pájaro del valle, lo que los obliga a colaborar para sobrevivir a la aventura más salvaje de sus vidas.",228.4569
1523145,Tu corazón se romperá,2026-03-26,6.801,"Polina, una estudiante de secundaria, encuentra un salvavidas inesperado frente al acoso que sufre en su nuevo instituto. Para frenar el bullying, sella un pacto con Bars, el cabecilla de los abusadores: él fingirá ser su novio y se convertirá en su protector, pero a cambio, ella tendrá que obedecerle en todo lo que él le pida.  Lo que empieza como un juego de supervivencia se complica cuando la química entre los dos se vuelve real. Sin embargo, su historia tiene los días contados: tanto sus familias como sus propios compañeros harán lo imposible por dinamitar una relación que nadie aprueba.",222.3925
405818,Door II : Tokyo Diary,1991-04-25,6.071,,157.6389
1065834,കാട്ടാളൻ,2026-05-14,6.0,,193.8304
1371023,चाँद मेरा दिल,2026-05-22,3.833,,168.7179
931285,Mortal Kombat II,2026-05-06,6.742,"Los campeones favoritos de los fans, ahora acompañados por el propio Johnny Cage, se enfrentan cara a cara en la definitiva y sangrienta batalla a muerte para vencer al oscuro régimen de Shao Kahn, que amenaza la existencia del Reino de la Tierra y a sus defensores.",136.6666
