index_visual,film_id,title_visual,release_year,poster_downloaded,tmdb_id,poster_path,filename,poster_file,title_clean,index_text,movie_id,title_text,avg_rating,embedding_saved
6,7,Proyecto Salvación,2026,True,687163,/fj1FAiS6OHidg1O1T6z2356fD6u.jpg,0007_Proyecto_Salvación.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0007_Proyecto_Salvación.jpg,proyecto salvación,0,687163,Proyecto Salvación,6.0,True
8,9,Matrix,1999,True,603,/8rT9kG2EYkZpJmYCuTJNnPDEube.jpg,0009_Matrix.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0009_Matrix.jpg,matrix,1,603,Matrix,9.0,True
17,18,Avatar: Fuego y ceniza,2025,True,83533,/4n1U0Mwn7djux6VKNYDRWPgS2x6.jpg,0018_Avatar__Fuego_y_ceniza.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0018_Avatar__Fuego_y_ceniza.jpg,avatar: fuego y ceniza,2,83533,Avatar: Fuego y ceniza,6.0,True
22,23,El diablo viste de Prada,2006,True,350,/gvBvYFS9LVeukBYcdBX2HJZN4DL.jpg,0023_El_diablo_viste_de_Prada.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0023_El_diablo_viste_de_Prada.jpg,el diablo viste de prada,3,350,El diablo viste de Prada,9.0,True
24,25,Nymphomaniac. Volumen 2,2013,True,249397,/bx6iyY3uf1Wn3wUNEFnvAGe5sgW.jpg,0025_Nymphomaniac__Volumen_2.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0025_Nymphomaniac__Volumen_2.jpg,nymphomaniac. volumen 2,4,249397,Nymphomaniac. Volumen 2,6.0,True
43,44,Zootrópolis 2,2025,True,1084242,/4fRdfQPjHiuDSkzaxFAV44k7Iem.jpg,0044_Zootrópolis_2.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0044_Zootrópolis_2.jpg,zootrópolis 2,5,1084242,Zootrópolis 2,8.0,True
46,47,Acero puro,2011,True,39254,/gqjKG4Z24pjYxcOfCd9p6WAnYlG.jpg,0047_Acero_puro.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0047_Acero_puro.jpg,acero puro,6,39254,Acero puro,8.0,True
47,48,Cadena perpetua,1994,True,278,/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg,0048_Cadena_perpetua.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0048_Cadena_perpetua.jpg,cadena perpetua,7,278,Cadena perpetua,10.0,True
86,87,Vengadores: Infinity War,2018,True,299536,/ksBQ4oHQDdJwND8H90ay8CbMihU.jpg,0087_Vengadores__Infinity_War.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0087_Vengadores__Infinity_War.jpg,vengadores: infinity war,8,299536,Vengadores: Infinity War,9.0,True
88,89,La guerra de los mundos,2025,True,755898,/fjgSlNGECNgVeMJaOdDAXmGh7ZM.jpg,0089_La_guerra_de_los_mundos.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0089_La_guerra_de_los_mundos.jpg,la guerra de los mundos,9,755898,La guerra de los mundos,5.0,True
103,104,Máquina de guerra,2026,True,1265609,/5C18uOTbDZRvVIZcVRO747k2fUi.jpg,0104_Máquina_de_guerra.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0104_Máquina_de_guerra.jpg,máquina de guerra,10,1265609,Máquina de guerra,8.0,True
107,108,El padrino,1972,True,238,/ApiEfzSkrqS4m1L5a2GwWXzIiAs.jpg,0108_El_padrino.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0108_El_padrino.jpg,el padrino,11,238,El padrino,9.0,True
108,109,F1 la película,2025,True,911430,/wfpqaxoPKvcqzLy8FO0enGXBzU.jpg,0109_F1_la_película.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0109_F1_la_película.jpg,f1 la película,12,911430,F1 la película,8.0,True
112,113,El señor de los anillos: El retorno del rey,2003,True,122,/mWuFbQrXyLk2kMBKF9TUPtDwuPx.jpg,0113_El_señor_de_los_anillos__El_retorno_del_rey.jpg,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0113_El_señor_de_los_anillos__El_retorno_del_rey.jpg,el señor de los anillos: el retorno del rey,13,122,El señor de los anillos: El retorno del rey,10.0,True
