rank,query_title,film_id,title,poster_file,similarity
1,Obsesión,95,Culpa mía,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0095_Culpa_mía.jpg,0.57989955
2,Obsesión,112,Ruta de escape,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0112_Ruta_de_escape.jpg,0.5563023
3,Obsesión,4,Jack Ryan de Tom Clancy: Guerra Encubierta,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0004_Jack_Ryan_de_Tom_Clancy__Guerra_Encubierta.jpg,0.555209
4,Obsesión,63,Cuenta atrás,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0063_Cuenta_atrás.jpg,0.54739386
5,Obsesión,73,Worldbreaker,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0073_Worldbreaker.jpg,0.5386661
1,La momia de Lee Cronin,69,ಕೆಡಿ - ದಿ ಡೆವಿಲ್,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0069_ಕ_ಡ__-_ದ__ಡ_ವ_ಲ_.jpg,0.41212183
2,La momia de Lee Cronin,10,Patriotismo 2,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0010_Patriotismo_2.jpg,0.36982813
3,La momia de Lee Cronin,124,Expediente Warren: El último rito,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0124_Expediente_Warren__El_último_rito.jpg,0.36330414
4,La momia de Lee Cronin,35,Depredador dominante,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0035_Depredador_dominante.jpg,0.3585772
5,La momia de Lee Cronin,93,Noche de bodas 2,C:\Users\ELITEBOOK\Desktop\Programas 9no\Sistemas Inteligentes\ProyectoFin\data\posters\0093_Noche_de_bodas_2.jpg,0.35347658
